彩种名称,投注人数,投注金额,中奖金额,撤单金额,返点金额,盈利,盈率,source_file
3分快3,95,205602.00,187763.26,5904.00,355.29,17483.45,8.50%,20200714.xls
传统1分彩,18,109223.00,113874.91,0.00,36.07,-4687.98,-4.29%,20200714.xls
1分赛车,35,107167.92,105806.92,351.74,43.04,1317.97,1.23%,20200714.xls
1分彩,32,82832.28,81008.74,1.40,30.13,1793.41,2.17%,20200714.xls
万人红黑大战,8,76985.00,75731.10,410.00,0.12,1253.78,1.63%,20200714.xls
传统1分赛车,16,58210.00,54981.43,2433.00,16.62,3211.95,5.52%,20200714.xls
5分快3,38,54253.00,53712.99,33.00,52.44,487.57,0.90%,20200714.xls
龙虎斗,37,50630.00,60350.15,0.00,47.37,-9767.52,-19.29%,20200714.xls
疯狂飞艇,23,34268.28,31272.41,30.00,8.58,2987.30,8.72%,20200714.xls
腾讯时时彩,20,29109.94,23439.95,12.20,43.39,5626.60,19.33%,20200714.xls
1分六合,21,26486.00,25122.03,0.00,88.35,1275.62,4.82%,20200714.xls
北京赛车,4,24525.88,43012.60,90.00,101.85,-18588.57,-75.79%,20200714.xls
极速赛车,18,19009.10,18230.56,0.00,24.75,753.79,3.97%,20200714.xls
六合秒秒,5,16959.00,14038.81,0.00,3.35,2916.84,17.20%,20200714.xls
万人龙虎,19,14750.00,16517.50,30.00,2.39,-1769.89,-12.00%,20200714.xls
腾讯1.5分彩,5,13385.00,15412.28,0.00,15.71,-2042.98,-15.26%,20200714.xls
传统北京赛车,6,13005.00,11202.36,434.00,348.24,1454.40,11.18%,20200714.xls
传统欢乐生肖,7,11667.00,7583.73,0.00,105.74,3977.53,34.09%,20200714.xls
3分赛车,10,11175.62,11586.89,198.00,11.91,-423.18,-3.79%,20200714.xls
1分11选5,11,7744.96,7780.98,109.20,95.88,-131.90,-1.70%,20200714.xls
百人二八杠,4,7195.00,14479.50,0.00,0.75,-7285.25,-101.25%,20200714.xls
百家乐,7,5825.00,6121.00,0.00,0.00,-296.00,-5.08%,20200714.xls
欢乐生肖,5,5252.38,0.00,0.00,0.00,5252.38,100.00%,20200714.xls
湖北快3,9,4910.00,4894.16,245.00,0.30,15.54,0.32%,20200714.xls
1分幸运28,4,4642.00,4647.13,0.00,0.00,-5.13,-0.11%,20200714.xls
百人牛牛,6,4455.00,3866.50,0.00,0.50,588.00,13.20%,20200714.xls
森林舞会,2,4450.00,4721.60,0.00,0.00,-271.60,-6.10%,20200714.xls
万人射龙门,4,4200.00,2750.05,0.00,0.00,1449.95,34.52%,20200714.xls
上海快3,6,4133.00,561.84,0.00,0.15,3571.01,86.40%,20200714.xls
北京快3,8,3496.00,2434.70,232.00,0.85,1060.45,30.33%,20200714.xls
奔驰宝马,8,3370.00,1268.95,0.00,225.00,1876.05,55.67%,20200714.xls
贵州快3,6,3188.00,1527.56,58.00,0.50,1659.94,52.07%,20200714.xls
腾讯3分彩,2,3078.20,1641.65,0.00,0.00,1436.55,46.67%,20200714.xls
3分彩,5,2989.24,3220.66,0.00,0.40,-231.82,-7.76%,20200714.xls
广西快3,4,2948.00,3646.87,9.00,3.80,-702.67,-23.84%,20200714.xls
甘肃快3,3,2876.00,4724.28,2000.00,0.00,-1848.28,-64.27%,20200714.xls
广东11选5,10,2486.88,3248.78,0.08,0.45,-762.35,-30.65%,20200714.xls
万人牛牛,7,2182.00,2251.82,0.00,7.75,-77.57,-3.55%,20200714.xls
骰宝,9,2160.00,1977.45,0.00,8.18,174.37,8.07%,20200714.xls
江苏11选5,2,2100.00,3484.80,6.60,0.00,-1384.80,-65.94%,20200714.xls
山东11选5,9,2096.00,965.29,84.00,0.19,1130.53,53.94%,20200714.xls
江西11选5,3,1886.60,1241.46,100.00,0.00,645.14,34.20%,20200714.xls
射龙门,6,1875.00,1497.25,0.00,9.90,367.85,19.62%,20200714.xls
上海11选5,6,1803.00,1100.97,30.20,0.00,702.03,38.94%,20200714.xls
吉林快3,5,1741.00,1697.07,400.00,11.84,32.09,1.84%,20200714.xls
红黑大战,9,1570.00,1699.10,0.00,2.72,-131.82,-8.40%,20200714.xls
江苏快3,10,1476.00,1397.83,0.00,0.05,78.12,5.29%,20200714.xls
5分赛车,7,1334.00,1622.34,34.00,7.87,-296.21,-22.20%,20200714.xls
传统3分赛车,1,1124.00,1386.00,0.00,0.00,-262.00,-23.31%,20200714.xls
河北快3,5,1105.00,277.13,18.00,0.04,827.84,74.92%,20200714.xls
澳门六合彩,5,1097.00,828.85,20.00,7.21,260.94,23.79%,20200714.xls
安徽快3,10,845.00,1455.26,138.00,0.29,-610.55,-72.25%,20200714.xls
万人炸金花,4,750.00,531.90,0.00,0.05,218.05,29.07%,20200714.xls
百人炸金花,1,320.00,827.40,0.00,0.00,-507.40,-158.56%,20200714.xls
决战梭哈,2,180.00,199.10,0.00,0.00,-19.10,-10.61%,20200714.xls
梭哈,1,150.00,186.20,0.00,0.00,-36.20,-24.13%,20200714.xls
百人三公,1,80.00,118.20,0.00,0.40,-38.60,-48.25%,20200714.xls
万人百家乐,1,70.00,77.20,0.00,0.00,-7.20,-10.29%,20200714.xls
腾讯5分彩,2,17.00,19.60,0.00,0.10,-2.70,-15.88%,20200714.xls
5分彩,1,10.00,19.60,0.00,0.10,-9.70,-97.00%,20200714.xls
飞禽走兽,1,10.00,0.00,0.00,0.00,10.00,100.00%,20200714.xls
小计,,5582348.28,5318036.54,63647.42,14916.53,249395.26,4.47%,20200714.xls
1分快3,593,4543355.00,4326144.48,46316.00,11567.54,205642.98,4.53%,20200715.xls
极速快3,150,701735.00,674986.37,0.00,1072.17,25676.46,3.66%,20200715.xls
3分快3,90,239135.00,238605.90,11415.00,400.97,128.13,0.05%,20200715.xls
龙虎斗,26,215610.00,195662.60,0.00,469.19,19478.22,9.03%,20200715.xls
传统1分彩,24,170707.00,156238.43,81.00,16.74,14451.84,8.47%,20200715.xls
1分赛车,27,118318.36,110405.61,245.70,11.40,7901.35,6.68%,20200715.xls
欢乐生肖,11,76634.32,79945.80,5000.00,0.00,-3311.48,-4.32%,20200715.xls
5分快3,43,73855.00,69544.29,1009.00,74.11,4236.61,5.74%,20200715.xls
万人红黑大战,7,67816.00,68701.11,80.00,0.00,-885.11,-1.31%,20200715.xls
1分六合,18,61877.00,60913.29,0.00,194.74,768.97,1.24%,20200715.xls
1分彩,32,59121.18,68945.16,0.00,81.62,-9905.60,-16.75%,20200715.xls
传统1分赛车,15,42693.00,45388.87,2836.00,0.74,-2696.61,-6.32%,20200715.xls
万人龙虎,19,38935.00,46770.80,0.00,0.00,-7835.80,-20.13%,20200715.xls
疯狂飞艇,27,31501.36,31520.94,608.40,15.03,-34.60,-0.11%,20200715.xls
传统北京赛车,7,24790.00,23475.78,1051.00,626.16,688.06,2.78%,20200715.xls
北京赛车,7,21192.60,20186.91,0.00,26.33,979.37,4.62%,20200715.xls
江苏快3,15,20075.00,15533.86,0.00,0.00,4541.14,22.62%,20200715.xls
百家乐,4,16465.00,15971.50,0.00,0.00,493.50,3.00%,20200715.xls
百人炸金花,4,15905.00,12414.60,0.00,0.00,3490.40,21.95%,20200715.xls
极速赛车,20,12896.66,12532.96,0.00,22.28,341.42,2.65%,20200715.xls
1分11选5,18,12748.06,14320.69,120.24,63.49,-1636.13,-12.83%,20200715.xls
1分幸运28,4,11152.00,11172.59,0.00,0.00,-20.59,-0.18%,20200715.xls
安徽快3,7,10884.00,12972.96,140.00,0.00,-2088.96,-19.19%,20200715.xls
腾讯3分彩,3,9796.00,9426.78,0.00,0.26,368.97,3.77%,20200715.xls
百人三公,1,9765.00,12824.70,0.00,0.00,-3059.70,-31.33%,20200715.xls
腾讯时时彩,20,9275.62,11400.05,9.00,28.73,-2153.16,-23.21%,20200715.xls
骰宝,6,8065.00,6911.65,0.00,0.00,1153.35,14.30%,20200715.xls
奔驰宝马,6,6630.00,5444.85,0.00,0.15,1185.00,17.87%,20200715.xls
万人牛牛,11,6314.00,7516.10,108.00,17.48,-1219.58,-19.32%,20200715.xls
万人百家乐,2,5535.00,5774.75,0.00,0.00,-239.75,-4.33%,20200715.xls
传统欢乐生肖,6,5500.00,6270.80,0.00,52.15,-822.95,-14.96%,20200715.xls
北京快3,8,5254.00,2450.14,535.00,1.00,2802.86,53.35%,20200715.xls
红黑大战,4,4815.00,4158.50,0.00,0.00,656.50,13.63%,20200715.xls
3分赛车,12,4701.02,4281.76,0.00,5.00,414.26,8.81%,20200715.xls
传统疯狂飞艇,5,4598.00,3770.42,0.00,0.24,827.34,17.99%,20200715.xls
万人射龙门,4,3965.00,3484.25,0.00,0.00,480.75,12.12%,20200715.xls
甘肃快3,3,2657.00,2474.64,0.00,0.00,182.36,6.86%,20200715.xls
万人炸金花,4,2620.00,2452.65,0.00,0.00,167.35,6.39%,20200715.xls
山东11选5,10,2555.68,1843.84,153.20,0.08,711.77,27.85%,20200715.xls
江苏11选5,4,1904.78,1093.81,0.00,0.00,810.97,42.58%,20200715.xls
广东11选5,8,1542.40,1262.75,30.00,0.60,279.06,18.09%,20200715.xls
百人牛牛,3,1305.00,1192.80,0.00,0.00,112.20,8.60%,20200715.xls
万人德扑,1,1300.00,1782.00,0.00,0.00,-482.00,-37.08%,20200715.xls
六合秒秒,3,1223.00,1100.71,0.00,9.15,113.14,9.25%,20200715.xls
澳门六合彩,5,1127.00,1646.25,0.00,6.30,-525.55,-46.63%,20200715.xls
湖北快3,4,988.00,722.70,0.00,0.00,265.30,26.85%,20200715.xls
吉林快3,6,950.00,1676.13,0.00,2.12,-728.25,-76.66%,20200715.xls
5分赛车,5,828.00,987.30,581.00,0.72,-160.02,-19.33%,20200715.xls
上海快3,6,785.00,1712.52,0.00,0.21,-927.73,-118.18%,20200715.xls
射龙门,1,745.00,614.00,0.00,0.00,131.00,17.58%,20200715.xls
森林舞会,3,720.00,729.50,0.00,0.00,-9.50,-1.32%,20200715.xls
贵州快3,6,719.00,573.20,0.00,0.35,145.45,20.23%,20200715.xls
上海11选5,6,620.80,1005.86,60.00,0.00,-385.06,-62.03%,20200715.xls
腾讯1.5分彩,7,465.04,530.70,0.00,2.46,-68.12,-14.65%,20200715.xls
江西11选5,3,337.40,100.19,0.00,0.00,237.21,70.31%,20200715.xls
台湾宾果,1,302.40,306.16,0.00,0.00,-3.76,-1.24%,20200715.xls
广西快3,2,236.00,277.20,0.00,0.00,-41.20,-17.46%,20200715.xls
河北快3,5,223.00,306.18,160.00,0.00,-83.18,-37.30%,20200715.xls
传统10分彩,1,199.00,305.97,0.00,0.00,-106.97,-53.75%,20200715.xls
3分彩,3,162.00,225.12,16.00,0.40,-63.52,-39.21%,20200715.xls
传统3分赛车,2,115.00,109.58,0.00,0.00,5.42,4.71%,20200715.xls
百人二八杠,2,115.00,78.80,0.00,0.02,36.18,31.46%,20200715.xls
传统10分赛车,1,100.00,0.00,0.00,0.00,100.00,100.00%,20200715.xls
5分六合,2,92.00,107.44,0.00,1.10,-16.54,-17.98%,20200715.xls
秒秒彩,1,48.00,0.00,0.00,0.00,48.00,100.00%,20200715.xls
传统5分赛车,3,46.00,39.40,0.00,0.24,6.36,13.83%,20200715.xls
百人德扑,1,30.00,39.40,0.00,0.00,-9.40,-31.33%,20200715.xls
5分彩,1,20.00,19.60,0.00,0.20,0.20,1.00%,20200715.xls
腾讯5分彩,2,17.00,19.60,0.00,0.10,-2.70,-15.88%,20200715.xls
小计,,6696713.68,6421406.25,70554.54,14771.57,260535.93,3.89%,20200715.xls
1分快3,595,5829266.00,5522398.91,76028.00,12559.60,294307.49,5.05%,20200716.xls
极速快3,152,1717416.00,1637325.00,0.00,4934.90,75156.11,4.38%,20200716.xls
3分快3,75,174042.00,174393.36,4438.00,405.14,-756.50,-0.43%,20200716.xls
传统1分赛车,16,163512.00,153829.65,2867.00,3.43,9678.92,5.92%,20200716.xls
龙虎斗,28,113615.00,95725.75,0.00,53.86,17835.39,15.70%,20200716.xls
1分赛车,30,101407.06,97544.21,306.48,16.82,3846.03,3.79%,20200716.xls
万人龙虎,20,101225.00,95609.90,0.00,132.35,5482.75,5.42%,20200716.xls
欢乐生肖,13,96330.46,97554.60,1.92,0.00,-1224.14,-1.27%,20200716.xls
传统1分彩,22,78319.00,73845.50,12291.00,265.78,4207.72,5.37%,20200716.xls
1分彩,24,73872.74,71357.07,4.00,13.72,2501.95,3.39%,20200716.xls
1分六合,24,50492.00,50091.08,20.00,232.37,168.54,0.33%,20200716.xls
5分快3,40,42997.00,42719.34,694.00,65.14,212.52,0.49%,20200716.xls
传统北京赛车,6,34541.00,35779.60,999.00,1047.03,-2285.63,-6.62%,20200716.xls
疯狂飞艇,23,34333.94,34780.69,81.40,52.58,-499.33,-1.45%,20200716.xls
森林舞会,2,31975.00,24434.00,0.00,0.00,7541.00,23.58%,20200716.xls
万人红黑大战,4,20671.00,28965.42,0.00,0.00,-8294.42,-40.13%,20200716.xls
腾讯时时彩,23,16158.12,14310.13,15.20,36.67,1811.33,11.21%,20200716.xls
百人炸金花,6,16130.00,11937.00,0.00,4.50,4188.50,25.97%,20200716.xls
百家乐,6,14115.00,10987.55,0.00,0.00,3127.45,22.16%,20200716.xls
1分11选5,15,13787.46,15553.89,100.42,12.13,-1778.56,-12.90%,20200716.xls
1分幸运28,4,12680.00,11832.18,0.00,0.00,847.82,6.69%,20200716.xls
北京赛车,9,11229.04,11766.92,0.00,64.38,-602.26,-5.36%,20200716.xls
极速赛车,19,10458.60,10421.95,0.00,54.16,-17.52,-0.17%,20200716.xls
百人二八杠,1,9770.00,9456.00,0.00,0.00,314.00,3.21%,20200716.xls
奔驰宝马,3,8790.00,6728.00,0.00,24.90,2037.10,23.18%,20200716.xls
梭哈,4,8435.00,7162.30,0.00,0.00,1272.70,15.09%,20200716.xls
北京快3,7,7823.00,11924.82,1.00,31.59,-4133.41,-52.84%,20200716.xls
传统疯狂飞艇,4,7617.00,8133.12,0.00,0.36,-516.48,-6.78%,20200716.xls
传统欢乐生肖,6,7139.00,8531.61,0.00,48.47,-1441.08,-20.19%,20200716.xls
腾讯3分彩,3,6070.60,6430.44,0.00,0.40,-360.24,-5.93%,20200716.xls
百人牛牛,9,6025.00,6135.90,0.00,1.70,-112.60,-1.87%,20200716.xls
百人三公,1,5365.00,3772.55,0.00,0.00,1592.45,29.68%,20200716.xls
万人牛牛,12,5350.00,4457.62,0.00,8.80,883.58,16.52%,20200716.xls
腾讯1.5分彩,4,3872.34,5190.57,0.00,0.10,-1318.33,-34.04%,20200716.xls
湖北快3,6,3782.00,3784.74,0.00,2.50,-5.24,-0.14%,20200716.xls
江苏快3,11,3759.00,1709.72,0.00,4.00,2045.28,54.41%,20200716.xls
万人射龙门,4,3250.00,1750.90,200.00,0.00,1499.10,46.13%,20200716.xls
骰宝,3,3145.00,3221.40,0.00,0.10,-76.50,-2.43%,20200716.xls
万人炸金花,4,2610.00,2039.10,0.00,0.20,570.70,21.87%,20200716.xls
红黑大战,4,2525.00,1533.90,0.00,0.50,990.60,39.23%,20200716.xls
广西快3,6,2377.00,2589.26,0.00,8.50,-220.76,-9.29%,20200716.xls
上海快3,5,2241.00,3142.45,66.00,8.00,-909.45,-40.58%,20200716.xls
六合秒秒,2,1947.00,1958.91,0.00,16.34,-28.25,-1.45%,20200716.xls
安徽快3,6,1698.00,2089.84,50.00,3.50,-395.34,-23.28%,20200716.xls
山东11选5,7,1682.20,1050.28,96.00,0.00,631.92,37.57%,20200716.xls
5分赛车,3,1602.00,1719.28,0.00,13.36,-130.64,-8.15%,20200716.xls
3分赛车,4,1590.94,1858.66,0.00,0.28,-268.00,-16.85%,20200716.xls
广东11选5,6,1412.80,1470.09,0.00,0.00,-57.29,-4.06%,20200716.xls
贵州快3,3,1348.00,591.00,0.00,3.50,753.50,55.90%,20200716.xls
万人德扑,1,1200.00,1188.00,0.00,0.00,12.00,1.00%,20200716.xls
上海11选5,4,1174.00,1610.99,66.00,0.00,-436.99,-37.22%,20200716.xls
河北快3,4,1164.00,1215.72,10.00,1.00,-52.72,-4.53%,20200716.xls
吉林快3,7,943.00,905.58,0.00,6.06,31.36,3.33%,20200716.xls
传统3分赛车,4,794.00,480.92,0.00,10.52,302.56,38.11%,20200716.xls
澳门六合彩,4,735.00,726.95,89.00,3.89,4.16,0.57%,20200716.xls
江西11选5,3,574.00,653.31,28.00,0.00,-79.31,-13.82%,20200716.xls
江苏11选5,4,553.00,3005.64,0.00,0.00,-2452.64,-443.52%,20200716.xls
万人百家乐,2,435.00,520.75,0.00,0.00,-85.75,-19.71%,20200716.xls
甘肃快3,1,400.00,0.00,0.00,2.00,398.00,99.50%,20200716.xls
腾讯5分彩,2,350.28,0.40,0.00,0.00,349.88,99.89%,20200716.xls
决战梭哈,2,280.00,151.35,0.00,0.00,128.65,45.95%,20200716.xls
百人德扑,1,235.00,216.70,0.00,0.00,18.30,7.79%,20200716.xls
飞禽走兽,1,220.00,360.00,0.00,0.00,-140.00,-63.64%,20200716.xls
5分六合,1,142.00,96.04,0.00,1.42,44.54,31.37%,20200716.xls
5分彩,1,140.00,168.30,11.20,0.00,-28.30,-20.21%,20200716.xls
传统10分彩,2,136.00,230.44,0.00,0.56,-95.00,-69.85%,20200716.xls
射龙门,1,100.00,127.40,0.00,1.00,-28.40,-28.40%,20200716.xls
秒秒彩,2,76.00,0.00,0.00,0.00,76.00,100.00%,20200716.xls
传统5分赛车,1,42.00,62.70,0.00,1.68,-22.38,-53.29%,20200716.xls
传统澳洲幸运10,2,39.00,17.82,0.00,0.00,21.18,54.31%,20200716.xls
小计,,8879532.58,8443335.17,98463.62,20159.79,416037.62,4.69%,20200716.xls
1分快3,586,3962417.00,3787618.37,80025.00,7500.93,167297.71,4.22%,20200717.xls
极速快3,140,1008519.00,965700.07,0.00,2352.82,40466.11,4.01%,20200717.xls
龙虎斗,26,211220.00,214388.10,2300.00,184.64,-3352.74,-1.59%,20200717.xls
传统1分彩,16,120181.00,111400.63,870.00,30.31,8750.06,7.28%,20200717.xls
极速赛车,18,117862.30,111287.44,0.00,561.82,6013.04,5.10%,20200717.xls
3分快3,70,93528.00,93561.97,245.00,132.53,-166.50,-0.18%,20200717.xls
欢乐生肖,13,83505.96,77776.37,5.60,0.00,5729.59,6.86%,20200717.xls
1分赛车,25,73097.18,70622.21,477.64,35.48,2439.50,3.34%,20200717.xls
传统1分赛车,14,71631.00,66961.50,1521.00,13.60,4655.90,6.50%,20200717.xls
1分六合,17,58506.00,56123.33,0.00,217.45,2165.22,3.70%,20200717.xls
万人红黑大战,7,50308.00,45634.05,0.00,1.00,4672.95,9.29%,20200717.xls
万人龙虎,19,39530.00,36123.85,10.00,3.10,3403.05,8.61%,20200717.xls
1分11选5,13,35323.32,37642.00,94.88,148.97,-2467.64,-6.99%,20200717.xls
腾讯时时彩,18,32458.56,29208.78,272.60,32.17,3217.61,9.91%,20200717.xls
传统北京赛车,5,28842.00,26083.35,1812.00,1026.00,1732.65,6.01%,20200717.xls
5分快3,30,28658.00,25000.58,14294.00,26.45,3630.97,12.67%,20200717.xls
疯狂飞艇,15,22553.90,24732.02,200.00,41.69,-2219.81,-9.84%,20200717.xls
森林舞会,4,19565.00,20119.25,0.00,0.00,-554.25,-2.83%,20200717.xls
山东11选5,9,16657.80,16257.77,1330.00,1.60,398.44,2.39%,20200717.xls
上海11选5,4,14788.10,17693.81,1960.00,0.00,-2905.71,-19.65%,20200717.xls
江苏11选5,5,14398.12,14959.28,720.00,0.00,-561.16,-3.90%,20200717.xls
奔驰宝马,5,14320.00,13290.75,0.00,0.00,1029.25,7.19%,20200717.xls
江苏快3,8,13284.00,13743.90,0.00,4.50,-464.40,-3.50%,20200717.xls
广东11选5,6,13082.40,12798.30,1340.00,1.32,282.78,2.16%,20200717.xls
江西11选5,3,12770.00,10114.87,1100.00,0.00,2655.13,20.79%,20200717.xls
1分彩,23,9699.36,10366.46,0.00,1.34,-668.44,-6.89%,20200717.xls
北京赛车,3,9215.00,13783.80,300.00,22.65,-4591.45,-49.83%,20200717.xls
腾讯1.5分彩,4,9004.14,5940.00,0.00,0.01,3064.13,34.03%,20200717.xls
腾讯3分彩,4,7699.30,8268.55,300.30,0.18,-569.43,-7.40%,20200717.xls
百人牛牛,4,6820.00,6237.00,0.00,0.00,583.00,8.55%,20200717.xls
传统疯狂飞艇,3,5024.00,6693.82,0.00,0.00,-1669.82,-33.24%,20200717.xls
红黑大战,4,4490.00,4888.30,0.00,0.48,-398.78,-8.88%,20200717.xls
湖北快3,4,4137.00,3961.98,0.00,3.25,171.77,4.15%,20200717.xls
万人百家乐,2,3895.00,3085.00,0.00,0.00,810.00,20.80%,20200717.xls
腾讯5分彩,5,3789.88,4341.31,553.80,1.69,-553.12,-14.59%,20200717.xls
北京快3,7,3729.00,1976.48,0.00,5.50,1747.02,46.85%,20200717.xls
传统欢乐生肖,5,3587.00,5957.79,0.00,22.75,-2393.54,-66.73%,20200717.xls
万人牛牛,5,3387.00,2981.76,0.00,0.45,404.79,11.95%,20200717.xls
六合秒秒,2,3357.00,3555.99,0.00,31.83,-230.82,-6.88%,20200717.xls
骰宝,4,3290.00,3348.25,0.00,0.00,-58.25,-1.77%,20200717.xls
万人射龙门,2,2620.00,2679.80,0.00,0.00,-59.80,-2.28%,20200717.xls
安徽快3,5,2134.00,1526.58,10.00,0.00,607.42,28.46%,20200717.xls
河北快3,6,1844.00,1611.28,3.00,8.93,223.79,12.14%,20200717.xls
5分彩,2,1832.70,1805.09,0.30,0.01,27.60,1.51%,20200717.xls
百家乐,5,1765.00,1691.00,0.00,0.00,74.00,4.19%,20200717.xls
贵州快3,3,1359.00,1491.86,0.00,6.50,-139.36,-10.25%,20200717.xls
百人炸金花,2,985.00,683.10,0.00,0.00,301.90,30.65%,20200717.xls
万人炸金花,4,680.00,649.50,0.00,0.30,30.20,4.44%,20200717.xls
吉林快3,3,611.00,689.45,0.00,3.76,-82.21,-13.45%,20200717.xls
万人德扑,1,600.00,1188.00,0.00,0.00,-588.00,-98.00%,20200717.xls
1分幸运28,2,573.00,447.65,0.00,0.00,125.35,21.88%,20200717.xls
百人三公,1,510.00,693.00,0.00,0.00,-183.00,-35.88%,20200717.xls
台湾宾果,1,486.96,532.65,0.00,0.00,-45.69,-9.38%,20200717.xls
梭哈,3,470.00,379.55,0.00,1.55,88.90,18.91%,20200717.xls
澳门六合彩,6,395.00,586.80,20.00,2.17,-193.97,-49.11%,20200717.xls
3分赛车,5,351.14,388.64,0.00,3.16,-40.66,-11.58%,20200717.xls
广西快3,4,345.00,49.50,0.00,1.25,294.25,85.29%,20200717.xls
5分赛车,2,221.60,251.46,0.00,0.00,-29.86,-13.47%,20200717.xls
射龙门,1,210.00,245.85,0.00,2.10,-37.95,-18.07%,20200717.xls
飞禽走兽,1,165.00,220.00,0.00,0.00,-55.00,-33.33%,20200717.xls
甘肃快3,2,155.00,305.40,0.00,0.75,-151.15,-97.52%,20200717.xls
传统10分彩,1,125.00,578.20,0.00,0.00,-453.20,-362.56%,20200717.xls
上海快3,4,106.00,204.74,10.00,0.59,-99.33,-93.71%,20200717.xls
决战梭哈,1,70.00,0.00,0.00,0.00,70.00,100.00%,20200717.xls
5分六合,1,17.00,8.76,0.00,0.00,8.24,48.47%,20200717.xls
传统10分快3,1,2.00,7.13,0.00,0.00,-5.13,-256.50%,20200717.xls
小计,,6256763.72,6003144.03,109775.12,12437.58,241182.15,3.85%,20200717.xls
1分快3,570,4388474.00,3966584.19,72517.00,6463.18,415426.63,9.47%,20200718.xls
极速快3,147,1721956.00,1615067.90,0.00,1374.50,105513.61,6.13%,20200718.xls
龙虎斗,31,208980.00,222262.80,220.00,716.18,-13998.98,-6.70%,20200718.xls
3分快3,68,110668.00,110287.92,2826.00,90.93,289.15,0.26%,20200718.xls
欢乐生肖,14,102860.76,96416.10,0.00,0.00,6444.66,6.27%,20200718.xls
传统1分赛车,11,96506.00,89019.10,6901.00,37.23,7449.67,7.72%,20200718.xls
1分赛车,22,84875.46,80860.45,1183.92,10.08,4004.93,4.72%,20200718.xls
万人红黑大战,11,80397.00,80851.30,0.00,6.78,-461.08,-0.57%,20200718.xls
1分彩,24,60238.70,55783.30,17.20,62.15,4393.25,7.29%,20200718.xls
5分快3,35,58040.00,58062.14,233.00,80.49,-102.63,-0.18%,20200718.xls
腾讯时时彩,26,37845.14,34701.50,23.48,105.29,3038.35,8.03%,20200718.xls
传统北京赛车,7,32251.00,20409.05,2449.00,950.70,10891.25,33.77%,20200718.xls
万人龙虎,18,31685.00,30539.35,0.00,0.00,1145.65,3.62%,20200718.xls
极速赛车,15,28501.44,27976.73,0.00,258.09,266.62,0.94%,20200718.xls
疯狂飞艇,18,27888.00,24961.24,214.40,112.62,2814.14,10.09%,20200718.xls
1分六合,17,26023.00,23394.37,6.00,97.39,2531.24,9.73%,20200718.xls
1分11选5,16,25384.24,25525.64,234.40,71.16,-212.56,-0.84%,20200718.xls
传统1分彩,19,22223.00,20162.58,1211.00,110.66,1949.76,8.77%,20200718.xls
万人百家乐,3,18365.00,19419.50,0.00,0.00,-1054.50,-5.74%,20200718.xls
1分幸运28,4,17373.00,16639.09,24.00,0.00,733.91,4.22%,20200718.xls
北京赛车,6,17218.40,14787.78,300.00,22.60,2408.02,13.99%,20200718.xls
百人牛牛,10,11975.00,12107.10,0.00,0.00,-132.10,-1.10%,20200718.xls
百家乐,8,11475.00,12167.75,0.00,0.00,-692.75,-6.04%,20200718.xls
奔驰宝马,7,9805.00,10097.70,0.00,1.00,-293.70,-3.00%,20200718.xls
山东11选5,12,9738.68,9904.13,48.00,0.91,-166.36,-1.71%,20200718.xls
广东11选5,9,9207.40,8649.92,300.00,1.53,555.95,6.04%,20200718.xls
飞禽走兽,2,8620.00,7521.40,0.00,160.40,938.20,10.88%,20200718.xls
江苏11选5,6,8548.32,11191.64,400.00,3.86,-2647.18,-30.97%,20200718.xls
江苏快3,12,8315.00,6634.48,664.00,4.10,1676.42,20.16%,20200718.xls
腾讯1.5分彩,8,7798.24,7435.96,0.00,63.24,299.04,3.83%,20200718.xls
上海11选5,5,7044.80,9012.58,1408.00,0.00,-1967.78,-27.93%,20200718.xls
上海快3,4,6450.00,8913.31,0.00,28.14,-2491.45,-38.63%,20200718.xls
万人射龙门,3,6270.00,5872.25,0.00,0.00,397.75,6.34%,20200718.xls
江西11选5,7,5918.20,4940.22,0.00,0.00,977.98,16.52%,20200718.xls
传统疯狂飞艇,5,5225.00,6929.94,0.00,0.28,-1705.22,-32.64%,20200718.xls
百人二八杠,4,4920.00,4986.60,0.00,0.00,-66.60,-1.35%,20200718.xls
万人炸金花,7,4430.00,4439.70,0.00,41.20,-50.90,-1.15%,20200718.xls
传统欢乐生肖,3,4131.00,7651.48,0.00,20.66,-3541.14,-85.72%,20200718.xls
万人牛牛,6,3533.00,3539.14,0.00,45.40,-51.54,-1.46%,20200718.xls
北京快3,6,3397.00,1927.05,0.00,1.10,1468.85,43.24%,20200718.xls
六合秒秒,4,3001.00,2919.20,0.00,27.33,54.47,1.82%,20200718.xls
湖北快3,6,2628.00,3032.34,0.00,4.00,-408.34,-15.54%,20200718.xls
万人德扑,2,2460.00,1663.20,0.00,0.00,796.80,32.39%,20200718.xls
广西快3,2,2337.00,1565.16,0.00,7.50,764.34,32.71%,20200718.xls
百人三公,2,1885.00,1310.05,0.00,0.00,574.95,30.50%,20200718.xls
腾讯3分彩,5,1801.86,2276.95,0.00,4.52,-479.61,-26.62%,20200718.xls
安徽快3,3,1745.00,2690.80,34.00,2.00,-947.80,-54.32%,20200718.xls
森林舞会,3,1680.00,446.95,0.00,0.05,1233.00,73.39%,20200718.xls
传统3分赛车,2,1618.00,1704.96,320.00,8.80,-95.76,-5.92%,20200718.xls
